key,english,tamil,translate,note,screen,occurrences,first_seen
documentVault.confidential,Confidential,,YES,,Document Vault,1,components/DocumentVault.tsx:629
documentVault.externalUrlFallback,External URL (Fallback),,YES,,Document Vault,1,components/DocumentVault.tsx:634
documentVault.searchTagsCommaSeparated,Search Tags (Comma separated),,YES,,Document Vault,1,components/DocumentVault.tsx:651
documentVault.uploading,Uploading...,,YES,,Document Vault,1,components/DocumentVault.tsx:690
documentVault.startUpload,Start Upload,,YES,,Document Vault,1,components/DocumentVault.tsx:695
documentVault.linkedWbsTask,Linked WBS Task,,YES,"Translate, but keep WBS as-is",Document Vault,1,components/DocumentVault.tsx:727
documentVault.access,Access,,YES,,Document Vault,1,components/DocumentVault.tsx:733
documentVault.noTaskLinked,No Task Linked,,YES,,Document Vault,1,components/DocumentVault.tsx:797
documentVault.viewFile,View File,,YES,,Document Vault,1,components/DocumentVault.tsx:838
documentVault.financialAudit2024,Financial Audit 2024,,YES,,Document Vault,1,components/DocumentVault.tsx:575
documentVault.teamLunchSafetyVip,"Team, Lunch, Safety, VIP Visit",,YES,,Document Vault,1,components/DocumentVault.tsx:657
documentVault.selectAllDocuments,Select all documents,,YES,,Document Vault,1,components/DocumentVault.tsx:711
documentVault.selectDocument,Select document,,YES,,Document Vault,1,components/DocumentVault.tsx:755
documentVault.selectPhoto,Select photo,,YES,,Document Vault,1,components/DocumentVault.tsx:889
documentVault.noSitePhotosYet,No site photos yet,,YES,,Document Vault,1,components/DocumentVault.tsx:940
estimateTrackerView.deleteEstimate,Delete estimate?,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:480
estimateTrackerView.syncWbs,Sync WBS,,YES,"Translate, but keep WBS as-is",Estimate Tracker View,1,components/EstimateTrackerView.tsx:583
estimateTrackerView.noLineItems,No line items,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:597
estimateTrackerView.addItemsManuallyOr,Add items manually or sync from your WBS/Tasks list.,,YES,"Translate, but keep WBS as-is",Estimate Tracker View,1,components/EstimateTrackerView.tsx:600
estimateTrackerView.taskItemName,Task / Item Name,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:620
estimateTrackerView.total,Total (₹),,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:703
estimateTrackerView.classification,Classification:,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:712
estimateTrackerView.noBaseContractItems,No base contract items in this estimate.,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:745
estimateTrackerView.noChangeOrderItems,No change order items in this estimate.,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:764
estimateTrackerView.contractPosition,Contract Position,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:779
estimateTrackerView.contractValueExGst,Contract Value (ex-GST),,YES,"Translate, but keep GST as-is",Estimate Tracker View,1,components/EstimateTrackerView.tsx:784
estimateTrackerView.basedOnCostIncurred,"Based on cost incurred so far, not final cost.",,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:801
estimateTrackerView.forecastAtCompletion,Forecast at Completion,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:856
estimateTrackerView.costPerformance,Cost Performance,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:867
estimateTrackerView.forecastFinalCost,Forecast Final Cost,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:877
estimateTrackerView.noCostRecordedOn,No cost recorded on these tasks yet.,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:921
estimateTrackerView.openCommitments,Open Commitments,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:934
estimateTrackerView.quoteSummary,Quote Summary,,YES,,Estimate Tracker View,1,components/EstimateTrackerView.tsx:953
