key,english,tamil,translate,note,screen,occurrences,first_seen
projectDailyLogsTab.totalWorkforce,Total Workforce,,YES,,Project Daily Logs Tab,1,components/schedule/ProjectDailyLogsTab.tsx:253
projectDailyLogsTab.deployed,Deployed,,YES,,Project Daily Logs Tab,1,components/schedule/ProjectDailyLogsTab.tsx:260
projectDailyLogsTab.noMaterialsLoggedToday,No materials logged today,,YES,,Project Daily Logs Tab,1,components/schedule/ProjectDailyLogsTab.tsx:275
scheduleView.gantt,Gantt,,YES,,Schedule View,1,components/schedule/ScheduleView.tsx:115
scheduleView.noTasksForThis,No tasks for this project,,YES,,Schedule View,1,components/schedule/ScheduleView.tsx:74
verticalTimeline.blocked,Blocked,,YES,,Vertical Timeline,1,components/schedule/VerticalTimeline.tsx:70
verticalTimeline.scheduled,Scheduled,,YES,,Vertical Timeline,1,components/schedule/VerticalTimeline.tsx:72
verticalTimeline.noTasksScheduledIn,No tasks scheduled in this time window.,,YES,,Vertical Timeline,1,components/schedule/VerticalTimeline.tsx:79
operatorPanel.provisionNewOrganization,Provision new organization,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:173
operatorPanel.orgCreated,Org created,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:196
operatorPanel.copied,Copied,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:210
operatorPanel.copy,Copy,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:210
operatorPanel.sendThisOwnerInvite,Send this Owner-invite link to the customer.,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:214
operatorPanel.manageSubscription,Manage subscription,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:223
operatorPanel.activatePaid,Activate (paid),,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:242
operatorPanel.extendTrial7d,Extend trial 7d,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:243
operatorPanel.expire,Expire,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:244
operatorPanel.internalNeverGated,Internal (never gated),,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:245
operatorPanel.setProjectPlan,Set project plan,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:262
operatorPanel.placesTheOrgThe,Places the org (the,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:264
operatorPanel.usageAmpSafetyCap,Usage &amp; safety-cap,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:298
operatorPanel.liveUsageForThe,Live usage for the,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:300
operatorPanel.plan,Plan,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:316
operatorPanel.overage,Overage,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:326
operatorPanel.aiThisMonth,AI this month,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:330
operatorPanel.paymentsRazorpay,Payments (Razorpay),,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:343
operatorPanel.currentlyOffCheckoutIs,Currently OFF — checkout is disabled.,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:349
operatorPanel.inviteEmailsResend,Invite emails (Resend),,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:383
operatorPanel.currentlyOffLinksAre,Currently OFF — links are copy-only.,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:390
operatorPanel.companyName,Company name,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:184
operatorPanel.ownerEmailOptional,Owner email (optional),,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:186
operatorPanel.copyActivationLink,Copy activation link,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:208
operatorPanel.months,Months,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:249
operatorPanel.keyIdRzpTest,Key ID (rzp_test_… or rzp_live_…),,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:361
operatorPanel.keySecret,Key Secret,,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:363
operatorPanel.webhookSecretOptionalBut,Webhook secret (optional but recommended),,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:365
operatorPanel.resendApiKeyRe,Resend API key (re_…),,YES,,Operator Panel,1,components/settings/OperatorPanel.tsx:402
createProjectModal.removeCoverImage,Remove cover image,,YES,,Create Project Modal,1,features/projects/components/CreateProjectModal.tsx:338
landingPage.yourProject,Your Project,,YES,,Landing Page,1,pages/LandingPage.tsx:377
landingPage.substructure,Substructure,,YES,,Landing Page,1,pages/LandingPage.tsx:385
landingPage.onTrack,On track,,YES,,Landing Page,1,pages/LandingPage.tsx:392
landingPage.costActual,Cost (Actual),,YES,,Landing Page,1,pages/LandingPage.tsx:398
landingPage.excavation80,Excavation — 80% ✅,,YES,,Landing Page,1,pages/LandingPage.tsx:412
landingPage.loggedViaTelegram2,Logged via Telegram · 2 min ago,,YES,,Landing Page,1,pages/LandingPage.tsx:413
landingPage.termsOfService,Terms of Service,,YES,,Landing Page,1,pages/LandingPage.tsx:728
landingPage.privacyPolicy,Privacy Policy,,YES,,Landing Page,1,pages/LandingPage.tsx:730
landingPage.createAnAccount,Create an account,,YES,,Landing Page,1,pages/LandingPage.tsx:809
landingPage.forgotPassword,Forgot password?,,YES,,Landing Page,1,pages/LandingPage.tsx:812
landingPage.alreadyHaveAnAccount,Already have an account?,,YES,,Landing Page,1,pages/LandingPage.tsx:818
landingPage.menu,Menu,,YES,,Landing Page,1,pages/LandingPage.tsx:303
landingPage.yourName,Your name,,YES,,Landing Page,1,pages/LandingPage.tsx:764
landingPage.emailAddress,Email address,,YES,,Landing Page,1,pages/LandingPage.tsx:774
landingPage.password,Password,,YES,,Landing Page,1,pages/LandingPage.tsx:784
